,SATVRMID,SATMTMID,SATWRMID,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN
222,560,562,555,21193.0,21500.0,19500.0
230,490,490,480,19000.0,20000.0,19000.0
250,655,700,685,13566.0,14500.0,15000.0
251,575,620,590,13000.0,14500.0,13667.0
252,530,600,555,14330.0,15726.0,17500.0
253,620,680,650,14850.0,15760.0,15296.0
254,525,565,535,16452.0,17000.0,18667.0
255,605,675,635,19000.0,19000.0,16500.0
257,590,625,605,15250.0,15000.0,15000.0
258,540,555,540,16980.5,16693.0,15224.0
283,595,615,605,14250.0,19813.0,19500.0
285,502,505,500,19000.0,18834.0,17500.0
339,495,495,489,16000.0,17425.0,17500.0
352,720,760,715,19000.0,24472.0,25000.0
377,505,525,510,23000.0,23000.0,20500.0
386,455,470,465,15834.0,14500.0,13000.0
401,590,600,600,15000.0,21130.0,21500.0
467,570,605,570,23000.0,23000.0,17880.0
472,610,625,620,27000.0,26000.0,22000.0
505,580,590,580,23000.0,24028.5,21500.0
536,550,560,560,23230.0,22750.0,19500.0
548,670,710,695,23250.0,22500.0,20500.0
552,645,605,630,15500.0,15500.0,15500.0
4313,730,745,735,6600.0,7617.0,15000.0
