,SATVRMID,SATMTMID,SATWRMID,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN
1645,440,445,435,22000.0,17787.0,20662.5
1646,715,725,715,4428.0,10692.0,13000.0
1654,490,475,470,17152.0,18671.0,19612.0
1664,665,695,685,19650.0,19000.0,19000.0
1666,620,665,645,26500.0,27000.0,25000.0
1684,630,600,625,23000.0,24250.0,21000.0
1690,490,500,480,13668.5,17088.0,16400.0
1698,750,755,755,6850.0,6250.0,7500.0
1749,685,705,680,24186.0,26292.0,27000.0
1751,470,460,470,23000.0,22125.0,21906.0
1767,520,540,510,18279.0,20500.0,19000.0
1769,500,510,500,23000.0,23250.0,19500.0
