,SATVRMID,SATMTMID,SATWRMID,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN
2379,550,570,560,23000.0,22000.0,19662.0
2434,735,745,735,21500.0,15000.0,15000.0
2441,660,695,670,18820.5,17500.0,17000.0
2442,690,730,700,5500.0,10005.0,13741.0
2480,620,635,630,16750.0,22500.0,23000.0
2512,450,470,445,19000.0,18000.0,17375.0
2513,480,490,475,19000.0,18000.0,17375.0
2520,530,550,530,20500.0,21500.0,21500.0
2541,520,535,520,25500.0,25500.0,23250.0
2550,485,493,475,15000.0,17550.0,18750.0
2559,670,685,685,22325.0,23000.0,20500.0
2576,605,690,600,22325.0,23000.0,20500.0
2578,565,570,565,23250.0,25000.0,22000.0
2591,590,625,575,24834.0,25250.0,23500.0
2597,520,535,510,18375.0,21500.0,23050.0
2610,520,530,510,20429.0,20000.0,19278.0
2615,525,555,510,23462.0,23469.0,19500.0
2629,633,670,625,18575.0,17750.0,17250.0
2631,600,650,595,16055.0,18000.0,17499.0
2634,520,540,500,17576.0,18750.0,17224.0
2639,560,565,555,18431.0,17064.0,17305.0
2645,490,510,475,13000.0,15192.5,13751.0
2652,560,595,575,27000.0,27000.0,25002.0
2668,465,475,450,16000.0,18750.0,18750.0
2675,540,530,510,13750.0,22250.0,19501.0
2686,615,620,605,15000.0,16108.0,14750.0
